Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 24, 2019",0.422864,0.45126,0.399441,0.416571,"116,987,322","522,170,772"
"Apr 23, 2019",0.400289,0.450784,0.387407,0.421706,"104,016,940","527,107,309"
"Apr 22, 2019",0.443613,0.457521,0.395189,0.400512,"94,332,520","500,617,215"
"Apr 21, 2019",0.414279,0.499337,0.404576,0.444291,"174,394,378","555,337,653"
"Apr 20, 2019",0.377664,0.434861,0.373942,0.414227,"96,849,014","517,759,245"
"Apr 19, 2019",0.351513,0.383214,0.347807,0.3776,"47,719,971","471,789,067"
"Apr 18, 2019",0.33463,0.368357,0.334626,0.35192,"54,029,800","439,703,189"
"Apr 17, 2019",0.32582,0.337816,0.319777,0.334325,"46,733,876","417,711,873"
"Apr 16, 2019",0.294287,0.331769,0.292317,0.325965,"45,545,451","407,265,555"
"Apr 15, 2019",0.306749,0.31513,0.290234,0.294271,"39,106,011","367,667,573"
"Apr 14, 2019",0.311462,0.329405,0.302796,0.306749,"48,248,475","383,256,857"
"Apr 13, 2019",0.288873,0.313137,0.284495,0.311498,"39,636,965","389,190,533"
"Apr 12, 2019",0.270897,0.290031,0.263052,0.288884,"36,982,423","360,936,131"
"Apr 11, 2019",0.293958,0.294683,0.261842,0.271218,"27,688,288","338,809,745"
"Apr 10, 2019",0.290449,0.302808,0.289391,0.293985,"31,467,602","367,250,471"
"Apr 09, 2019",0.295285,0.295285,0.286045,0.290387,"43,044,271","362,756,532"
"Apr 08, 2019",0.300265,0.304621,0.289948,0.295371,"38,673,110","368,805,036"
"Apr 07, 2019",0.303184,0.30925,0.296869,0.300154,"37,628,482","374,777,459"
"Apr 06, 2019",0.308202,0.314462,0.297941,0.303207,"40,740,487","378,589,016"
"Apr 05, 2019",0.283354,0.315584,0.283354,0.308017,"48,745,448","384,595,275"
"Apr 04, 2019",0.286656,0.303814,0.272874,0.284135,"42,424,782","354,775,418"
"Apr 03, 2019",0.321134,0.32148,0.279188,0.286875,"35,462,999","358,196,744"
"Apr 02, 2019",0.284567,0.321107,0.283532,0.321107,"37,763,598","400,939,902"
"Apr 01, 2019",0.287359,0.304667,0.284441,0.284441,"33,115,370","355,015,775"
"Mar 31, 2019",0.27108,0.290087,0.264487,0.289596,"21,295,814","361,449,321"
"Mar 30, 2019",0.281787,0.285332,0.258396,0.27108,"29,106,944","338,339,499"
"Mar 29, 2019",0.253998,0.307466,0.253998,0.281778,"65,953,482","351,691,623"
"Mar 28, 2019",0.227765,0.261262,0.225994,0.254436,"31,437,777","317,438,700"
"Mar 27, 2019",0.217437,0.229119,0.213552,0.22782,"20,496,999","284,118,451"
"Mar 26, 2019",0.204176,0.221057,0.204176,0.217075,"24,164,238","270,283,892"
"Mar 25, 2019",0.210041,0.210886,0.200054,0.20463,"16,604,597","254,716,083"
"Mar 24, 2019",0.201442,0.220188,0.201442,0.209909,"24,249,140","261,287,707"
"Mar 23, 2019",0.198279,0.202799,0.198013,0.201546,"12,343,781","250,806,633"
"Mar 22, 2019",0.195866,0.200504,0.19373,0.198347,"13,738,153","246,756,589"
"Mar 21, 2019",0.19549,0.199146,0.190211,0.195983,"13,610,465","243,815,455"
"Mar 20, 2019",0.194524,0.195166,0.190011,0.195065,"10,284,910","242,605,310"
"Mar 19, 2019",0.195565,0.196507,0.193542,0.194373,"8,321,455","241,745,269"
"Mar 18, 2019",0.195215,0.198538,0.192719,0.195642,"7,922,145","243,323,022"
"Mar 17, 2019",0.19913,0.199448,0.194298,0.195199,"5,530,914","242,703,599"
"Mar 16, 2019",0.19732,0.200741,0.196345,0.199253,"6,535,259","247,744,644"
"Mar 15, 2019",0.194022,0.200468,0.193845,0.197073,"7,943,164","245,034,172"
"Mar 14, 2019",0.190265,0.200132,0.186589,0.194224,"15,604,554","241,491,820"
"Mar 13, 2019",0.19355,0.197576,0.189943,0.190214,"13,792,918","236,505,703"
"Mar 12, 2019",0.192884,0.19853,0.184548,0.193372,"22,668,345","239,890,350"
"Mar 11, 2019",0.197616,0.20149,0.189713,0.193109,"21,896,785","239,565,003"
"Mar 10, 2019",0.207841,0.212651,0.197111,0.197483,"27,789,139","244,990,984"
"Mar 09, 2019",0.195863,0.212169,0.191425,0.206931,"39,356,470","256,712,140"
"Mar 08, 2019",0.181948,0.20681,0.1819,0.19532,"35,084,234","242,307,335"
"Mar 07, 2019",0.17465,0.184978,0.171874,0.181651,"13,185,413","225,350,132"
"Mar 06, 2019",0.177486,0.178039,0.172779,0.174594,"13,573,352","216,595,023"
"Mar 05, 2019",0.168741,0.178941,0.167925,0.1774,"19,228,044","220,076,161"
"Mar 04, 2019",0.170604,0.176045,0.160556,0.168719,"21,909,568","209,307,671"
"Mar 03, 2019",0.179179,0.179289,0.169678,0.170575,"17,424,264","211,610,009"
"Mar 02, 2019",0.164202,0.193035,0.164202,0.179926,"35,265,839","223,210,130"
"Mar 01, 2019",0.163287,0.168548,0.161639,0.164643,"11,595,359","204,167,752"
"Feb 28, 2019",0.158165,0.166379,0.155639,0.16288,"18,387,050","201,901,179"
"Feb 27, 2019",0.162554,0.162554,0.150752,0.158353,"22,855,020","196,289,406"
"Feb 26, 2019",0.147341,0.191211,0.143498,0.164838,"69,099,758","204,327,496"
"Feb 25, 2019",0.131663,0.152655,0.130296,0.148485,"12,247,504","183,982,349"
