Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 24, 2019",5571.51,5642.04,5418.26,5464.87,"17,048,033,399","96,530,038,144"
"Apr 23, 2019",5399.37,5633.8,5389.41,5572.36,"15,867,308,108","98,417,387,004"
"Apr 22, 2019",5312.49,5422.69,5280.28,5399.37,"14,601,631,648","95,354,207,776"
"Apr 21, 2019",5335.88,5359.93,5257.34,5314.53,"13,731,844,223","93,847,052,256"
"Apr 20, 2019",5304.16,5358.49,5295.88,5337.89,"13,169,647,522","94,248,717,444"
"Apr 19, 2019",5298.15,5336.68,5233.34,5303.81,"13,780,238,655","93,638,345,002"
"Apr 18, 2019",5251.48,5319.99,5250.51,5298.39,"13,256,489,918","93,532,402,741"
"Apr 17, 2019",5236.14,5274.28,5219.21,5251.94,"12,438,480,677","92,702,617,458"
"Apr 16, 2019",5066.58,5238.95,5055.19,5235.56,"11,618,660,197","92,404,613,297"
"Apr 15, 2019",5167.32,5196.61,5024.07,5067.11,"12,290,155,061","89,422,237,603"
"Apr 14, 2019",5095.76,5184.02,5053.57,5167.72,"10,391,952,498","91,188,595,341"
"Apr 13, 2019",5088.85,5127.12,5061.59,5096.59,"10,823,289,598","89,925,574,875"
"Apr 12, 2019",5061.2,5103.27,4955.85,5089.54,"13,675,206,312","89,792,633,045"
"Apr 11, 2019",5325.08,5354.23,5017.3,5064.49,"16,555,616,019","89,341,168,457"
"Apr 10, 2019",5204.11,5421.65,5193.38,5324.55,"15,504,590,933","93,918,439,274"
"Apr 09, 2019",5289.92,5289.92,5167.42,5204.96,"14,722,104,361","91,799,330,425"
"Apr 08, 2019",5199.84,5318.84,5148.21,5289.77,"17,154,113,634","93,286,365,973"
"Apr 07, 2019",5062.79,5235.19,5050.41,5198.9,"16,655,416,140","91,674,230,186"
"Apr 06, 2019",5036.79,5205.82,4992.22,5059.82,"16,929,795,194","89,212,733,450"
"Apr 05, 2019",4922.81,5053.51,4919.49,5036.68,"16,837,325,387","88,796,118,650"
"Apr 04, 2019",4971.31,5063.16,4836.79,4922.8,"18,251,810,240","86,778,727,821"
"Apr 03, 2019",4879.96,5307,4876.62,4973.02,"22,899,891,582","87,655,288,145"
"Apr 02, 2019",4156.92,4905.95,4155.32,4879.88,"21,315,047,816","85,986,009,273"
"Apr 01, 2019",4105.36,4164.95,4096.9,4158.18,"10,157,794,171","73,269,368,747"
"Mar 31, 2019",4105.46,4113.02,4094.1,4105.4,"9,045,122,443","72,339,379,036"
"Mar 30, 2019",4092.14,4296.81,4053.91,4106.66,"9,732,688,060","72,355,190,645"
"Mar 29, 2019",4068.3,4113.5,4034.1,4098.37,"10,918,665,557","72,202,088,875"
"Mar 28, 2019",4087.58,4094.9,4040.27,4069.11,"9,353,915,899","71,678,998,915"
"Mar 27, 2019",3984.24,4087.07,3977.81,4087.07,"10,897,131,934","71,987,847,571"
"Mar 26, 2019",3969.23,3985.08,3944.75,3985.08,"10,707,678,815","70,184,147,203"
"Mar 25, 2019",4024.11,4038.84,3934.03,3963.07,"10,359,818,883","69,789,872,373"
"Mar 24, 2019",4035.16,4040.7,4006.19,4022.17,"9,144,851,065","70,823,042,992"
"Mar 23, 2019",4022.71,4049.88,4015.96,4035.83,"9,578,850,549","71,056,017,910"
"Mar 22, 2019",4028.51,4053.91,4021.54,4023.97,"9,252,935,969","70,840,048,102"
"Mar 21, 2019",4083.95,4097.36,4005.15,4029.33,"10,831,212,662","70,926,226,882"
"Mar 20, 2019",4070.79,4089.46,4031.11,4087.48,"10,175,916,388","71,942,444,088"
"Mar 19, 2019",4032.69,4082.22,4023.81,4071.19,"9,344,919,956","71,647,703,828"
"Mar 18, 2019",4029.97,4071.56,4009.12,4032.51,"9,646,954,186","70,958,165,407"
"Mar 17, 2019",4047.72,4054.12,4006.41,4025.23,"8,221,625,400","70,821,939,585"
"Mar 16, 2019",3963.9,4077.04,3961.66,4048.73,"9,856,166,973","71,227,967,573"
"Mar 15, 2019",3926.66,3968.54,3914.02,3960.91,"9,394,210,605","69,675,002,377"
"Mar 14, 2019",3905.58,3946.5,3901.3,3924.37,"10,480,789,570","69,024,696,307"
"Mar 13, 2019",3913.05,3926.6,3891.9,3906.72,"9,469,184,841","68,706,700,381"
"Mar 12, 2019",3903.76,3926.89,3863.56,3909.16,"9,809,887,079","68,743,000,581"
"Mar 11, 2019",3953.74,3966.38,3889.24,3905.23,"10,125,901,903","68,666,928,025"
"Mar 10, 2019",3966.17,3966.17,3924.38,3951.6,"9,713,267,607","69,475,297,370"
"Mar 09, 2019",3894.55,3987.24,3892.39,3963.31,"10,796,103,518","69,674,508,655"
"Mar 08, 2019",3913.23,3950.43,3875.23,3901.13,"10,638,638,944","68,574,579,320"
"Mar 07, 2019",3903.38,3939.37,3894.11,3911.48,"9,584,165,519","68,749,421,311"
"Mar 06, 2019",3897.08,3919.51,3871.46,3903.94,"9,175,291,529","68,609,885,776"
"Mar 05, 2019",3759.83,3903.92,3745.18,3896.38,"10,174,126,415","68,470,655,400"
"Mar 04, 2019",3845.09,3867.38,3733.75,3761.56,"9,029,175,788","66,094,551,587"
"Mar 03, 2019",3862.27,3875.48,3836.91,3847.18,"7,253,558,152","67,592,376,373"
"Mar 02, 2019",3855.32,3874.61,3832.13,3864.42,"7,578,786,076","67,888,255,371"
"Mar 01, 2019",3853.76,3907.8,3851.69,3859.58,"7,661,247,975","67,796,965,743"
"Feb 28, 2019",3848.26,3906.06,3845.82,3854.79,"8,399,767,798","67,704,774,107"
"Feb 27, 2019",3857.48,3888.8,3787.06,3851.05,"8,301,309,684","67,631,949,500"
"Feb 26, 2019",3878.7,3891.58,3837.99,3854.36,"7,931,218,996","67,683,296,223"
"Feb 25, 2019",3807,3913.71,3807,3882.7,"9,318,796,067","68,173,204,651"
"Feb 24, 2019",4145.46,4210.64,3793.71,3810.43,"10,794,227,451","66,897,483,404"
"Feb 23, 2019",3998.92,4166.29,3968.73,4142.53,"8,922,258,316","72,720,867,208"
"Feb 22, 2019",3952.41,4006.54,3950.82,4005.53,"7,826,525,254","70,308,555,857"
"Feb 21, 2019",4000.26,4010.01,3940.11,3954.12,"7,775,128,102","69,398,333,876"
"Feb 20, 2019",3946.68,4000.49,3926.25,3999.82,"8,693,373,948","70,194,350,042"
"Feb 19, 2019",3911.66,4010.88,3908.15,3947.09,"9,933,626,655","69,262,673,238"
"Feb 18, 2019",3671.37,3936.67,3669.98,3915.71,"9,908,216,640","68,704,389,994"
"Feb 17, 2019",3633.36,3680.54,3619.18,3673.84,"7,039,512,503","64,453,368,779"
"Feb 16, 2019",3615.27,3652.84,3615.27,3629.79,"5,934,744,052","63,673,369,195"
"Feb 15, 2019",3617.37,3647.8,3608.21,3620.81,"6,091,952,231","63,509,111,125"
"Feb 14, 2019",3631.17,3646.26,3607.7,3616.88,"6,271,044,418","63,434,486,052"
"Feb 13, 2019",3653.6,3669.75,3617.25,3632.07,"6,438,903,823","63,694,394,519"
"Feb 12, 2019",3642.75,3668.59,3618.56,3653.53,"6,480,384,532","64,063,755,250"
"Feb 11, 2019",3695.61,3695.61,3642.29,3648.43,"6,277,056,434","63,968,390,250"
"Feb 10, 2019",3673.2,3695.04,3640.98,3690.19,"6,282,256,903","64,694,025,951"
"Feb 09, 2019",3671.59,3679.94,3646.56,3671.2,"6,158,833,645","64,354,732,475"
"Feb 08, 2019",3401.38,3695.61,3391.02,3666.78,"7,735,623,101","64,270,269,953"
"Feb 07, 2019",3414.93,3427.95,3394.22,3399.47,"5,004,962,683","59,578,075,991"
"Feb 06, 2019",3469.09,3469.09,3398.57,3413.77,"5,482,196,038","59,821,158,612"
"Feb 05, 2019",3454.95,3478.15,3451.94,3466.36,"5,227,549,545","60,735,563,490"
"Feb 04, 2019",3467.21,3476.22,3442.59,3459.15,"5,332,718,886","60,603,083,461"
"Feb 03, 2019",3516.14,3521.39,3447.92,3464.01,"5,043,937,584","60,681,847,608"
"Feb 02, 2019",3484.63,3523.29,3467.57,3521.06,"5,071,623,601","61,675,119,055"
"Feb 01, 2019",3460.55,3501.95,3431.59,3487.95,"5,422,926,707","61,088,747,491"
"Jan 31, 2019",3485.41,3504.8,3447.92,3457.79,"5,831,198,271","60,553,903,927"
"Jan 30, 2019",3443.9,3495.17,3429.39,3486.18,"5,955,112,627","61,044,262,622"
"Jan 29, 2019",3468.87,3476.07,3400.82,3448.12,"5,897,159,493","60,371,874,099"
"Jan 28, 2019",3584.28,3586.75,3439.23,3470.45,"6,908,930,483","60,756,570,314"
"Jan 27, 2019",3604.69,3612.67,3567.25,3583.97,"5,570,752,966","62,737,274,093"
"Jan 26, 2019",3599.72,3654.93,3593.35,3602.46,"5,098,183,235","63,054,898,963"
"Jan 25, 2019",3607.39,3612.93,3575.6,3599.77,"5,265,847,539","63,000,985,908"
"Jan 24, 2019",3584.5,3616.09,3569.09,3600.87,"5,262,869,046","63,014,066,012"
"Jan 23, 2019",3605.56,3623.07,3565.31,3585.12,"5,433,755,649","62,731,361,272"
"Jan 22, 2019",3575.08,3620.75,3539.72,3604.58,"5,313,623,556","63,065,139,424"
"Jan 21, 2019",3600.37,3608.84,3558.54,3576.03,"5,004,347,059","62,559,869,612"
"Jan 20, 2019",3725.45,3743.39,3583.02,3601.01,"5,582,489,560","62,990,143,284"
"Jan 19, 2019",3652.38,3758.53,3652.38,3728.57,"5,955,691,380","65,214,103,659"
"Jan 18, 2019",3677.99,3682.52,3637.08,3657.84,"5,002,961,727","63,970,991,867"
"Jan 17, 2019",3651.87,3680.14,3621.96,3678.56,"5,464,420,383","64,327,048,255"
"Jan 16, 2019",3631.51,3685.78,3624.67,3655.01,"5,394,457,145","63,909,348,776"
"Jan 15, 2019",3704.22,3720.15,3619.95,3630.68,"5,537,192,302","63,477,817,959"
"Jan 14, 2019",3557.31,3727.84,3552.29,3706.05,"5,651,384,490","64,789,619,995"
"Jan 13, 2019",3658.87,3674.76,3544.93,3552.95,"4,681,302,466","62,106,461,671"
"Jan 12, 2019",3686.97,3698.98,3653.81,3661.3,"4,778,170,883","63,994,140,882"
"Jan 11, 2019",3674.02,3713.88,3653.07,3687.37,"5,538,712,865","64,443,301,117"
"Jan 10, 2019",4034.41,4064.07,3659.17,3678.92,"6,874,143,796","64,288,932,886"
"Jan 09, 2019",4031.55,4068.4,4022.66,4035.3,"5,115,905,225","70,508,733,459"
"Jan 08, 2019",4028.47,4109.02,3996.96,4030.85,"5,306,593,305","70,422,743,854"
"Jan 07, 2019",4078.59,4092.61,4020.89,4025.25,"5,228,625,637","70,316,305,580"
"Jan 06, 2019",3836.52,4093.3,3826.51,4076.63,"5,597,027,440","71,206,795,853"
"Jan 05, 2019",3851.97,3904.9,3836.9,3845.19,"5,137,609,824","67,157,570,935"
"Jan 04, 2019",3832.04,3865.93,3783.85,3857.72,"4,847,965,467","67,368,333,500"
"Jan 03, 2019",3931.05,3935.69,3826.22,3836.74,"4,530,215,219","66,994,920,903"
"Jan 02, 2019",3849.22,3947.98,3817.41,3943.41,"5,244,856,836","68,849,856,732"
"Jan 01, 2019",3746.71,3850.91,3707.23,3843.52,"4,324,200,990","67,098,634,181"
"Dec 31, 2018",3866.84,3868.74,3725.87,3742.7,"4,661,840,806","65,331,499,158"
"Dec 30, 2018",3822.38,3901.91,3797.22,3865.95,"4,770,578,575","67,475,512,827"
"Dec 29, 2018",3932.49,3963.76,3820.41,3820.41,"4,991,655,917","66,672,244,158"
