Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 24, 2019",118.74,120.88,112.6,115.41,"312,408,765","1,011,904,721"
"Apr 23, 2019",122.72,125.1,118.65,118.74,"295,558,405","1,040,909,343"
"Apr 22, 2019",121.58,123.34,120.11,122.7,"252,838,818","1,075,400,327"
"Apr 21, 2019",123.59,124.19,118.73,121.56,"267,992,470","1,065,247,640"
"Apr 20, 2019",123.05,124.74,122.06,123.53,"256,996,001","1,082,314,216"
"Apr 19, 2019",124.37,124.59,121.72,123.05,"256,691,636","1,077,907,772"
"Apr 18, 2019",120.6,125.47,120.6,124.24,"303,176,904","1,088,118,162"
"Apr 17, 2019",121.54,123.16,119.59,120.61,"265,842,428","1,056,091,861"
"Apr 16, 2019",119.31,121.81,116.99,121.55,"304,019,084","1,064,125,589"
"Apr 15, 2019",123.23,124.34,116.42,119.21,"284,253,075","1,043,436,252"
"Apr 14, 2019",120.13,123.76,118.99,123.29,"242,571,615","1,078,878,136"
"Apr 13, 2019",119.59,120.92,118.68,120.12,"236,380,649","1,050,960,555"
"Apr 12, 2019",123.14,123.14,117.13,119.63,"269,911,688","1,046,469,240"
"Apr 11, 2019",130.08,130.21,116.35,123.12,"298,104,060","1,076,781,436"
"Apr 10, 2019",132.36,133.84,128.5,129.96,"301,080,748","1,136,415,532"
"Apr 09, 2019",136.33,136.33,130.87,132.3,"262,351,291","1,156,675,787"
"Apr 08, 2019",135.28,137.65,131.15,136.32,"347,993,408","1,191,564,654"
"Apr 07, 2019",130.89,135.41,130.53,135.26,"390,843,775","1,182,064,054"
"Apr 06, 2019",132.77,135.97,129.73,130.95,"276,748,770","1,144,152,824"
"Apr 05, 2019",123.85,132.77,123.85,132.77,"304,180,972","1,159,794,935"
"Apr 04, 2019",124.87,131.97,121.42,123.9,"367,863,314","1,082,087,564"
"Apr 03, 2019",124.73,138.54,122.85,124.77,"547,500,260","1,089,416,745"
"Apr 02, 2019",113.07,125.9,112.44,124.68,"467,984,068","1,088,410,240"
"Apr 01, 2019",108.14,115.66,106.91,113.09,"325,590,768","986,356,520"
"Mar 31, 2019",99.97,108.38,99.44,108.17,"307,273,197","943,250,363"
"Mar 30, 2019",97.96,101.97,95.92,99.98,"256,931,847","871,664,841"
"Mar 29, 2019",97,98.28,96.25,98.05,"235,901,173","854,617,092"
"Mar 28, 2019",95.44,97.39,93.68,96.92,"273,847,360","844,603,730"
"Mar 27, 2019",89.86,95.99,89.66,95.49,"251,629,903","831,945,584"
"Mar 26, 2019",90.06,90.21,88.79,89.83,"260,086,788","782,510,893"
"Mar 25, 2019",92.74,93.2,88.84,90.15,"272,531,942","785,077,793"
"Mar 24, 2019",92.66,93.45,91.99,92.61,"263,565,364","806,372,695"
"Mar 23, 2019",91.49,92.81,91.37,92.69,"252,859,798","806,856,519"
"Mar 22, 2019",91.12,92.64,90.57,91.54,"327,115,992","796,697,589"
"Mar 21, 2019",93.76,94.18,90.36,91.16,"289,562,774","793,229,410"
"Mar 20, 2019",92.42,93.88,91.03,93.68,"274,517,715","814,957,512"
"Mar 19, 2019",92.46,93.63,92.21,92.38,"279,417,894","803,479,141"
"Mar 18, 2019",93.65,95.72,92.21,92.64,"253,632,816","805,601,753"
"Mar 17, 2019",93.03,94,91.09,93.56,"228,317,131","813,463,650"
"Mar 16, 2019",90.87,93.24,90.84,93.04,"244,470,262","808,777,009"
"Mar 15, 2019",89.96,91.85,89.91,90.7,"261,122,554","788,189,556"
"Mar 14, 2019",91.29,91.29,88.67,89.96,"279,643,710","781,640,856"
"Mar 13, 2019",92.24,93.83,90.62,91.45,"286,758,977","794,438,027"
"Mar 12, 2019",84.28,92.55,82.84,92.04,"290,981,988","799,329,753"
"Mar 11, 2019",83.88,84.26,81.57,83.55,"238,933,542","725,454,942"
"Mar 10, 2019",84.33,84.39,82.37,83.73,"242,454,512","726,887,779"
"Mar 09, 2019",81.56,84.68,81.25,84.13,"260,715,166","730,236,104"
