Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 24, 2019",25.14,26.09,24,25.21,"2,265,951","243,972,987"
"Apr 23, 2019",25.66,26.39,25.06,25.18,"1,689,648","243,543,607"
"Apr 22, 2019",25.45,25.79,25.2,25.68,"1,624,695","248,255,559"
"Apr 21, 2019",25.57,25.88,24.94,25.49,"1,520,858","246,267,500"
"Apr 20, 2019",25.08,25.61,24.99,25.53,"1,246,679","246,605,573"
"Apr 19, 2019",25.07,25.58,24.82,25.04,"1,589,861","241,662,357"
"Apr 18, 2019",24.79,25.29,24.23,25.06,"2,060,633","241,749,399"
"Apr 17, 2019",24.59,24.86,24.27,24.8,"3,253,736","239,129,773"
"Apr 16, 2019",24.16,24.69,23.33,24.61,"1,379,521","237,168,342"
"Apr 15, 2019",25.24,25.62,23.87,24.12,"3,316,528","232,355,770"
"Apr 14, 2019",24.42,25.64,24.36,25.24,"5,714,792","242,960,447"
"Apr 13, 2019",23.98,24.6,23.9,24.42,"1,238,405","235,004,314"
"Apr 12, 2019",23.97,24.25,23.17,24.04,"1,293,560","231,200,205"
"Apr 11, 2019",25.65,25.66,22.59,23.98,"2,719,595","230,454,239"
"Apr 10, 2019",25.36,25.87,25,25.66,"4,098,155","246,538,230"
"Apr 09, 2019",25.98,26,25.29,25.41,"1,550,879","243,979,711"
"Apr 08, 2019",25.81,26.81,25.36,25.98,"1,560,174","249,249,705"
"Apr 07, 2019",25.02,26.05,24.96,25.77,"1,393,513","247,143,492"
"Apr 06, 2019",25.55,26.34,24.8,25.04,"2,507,960","240,010,591"
"Apr 05, 2019",23.44,25.57,23.36,25.51,"2,936,621","244,326,719"
"Apr 04, 2019",23.92,24.27,22.99,23.42,"2,366,834","224,247,032"
"Apr 03, 2019",23.17,25.25,23.14,23.9,"3,723,454","228,721,017"
"Apr 02, 2019",20.01,23.24,19.98,23.16,"3,783,099","221,521,383"
"Apr 01, 2019",20.27,20.52,19.93,20.01,"2,329,822","191,287,112"
"Mar 31, 2019",19.4,20.32,19.34,20.26,"2,313,932","193,582,445"
"Mar 30, 2019",19.58,20.64,19.17,19.4,"1,655,741","185,236,152"
"Mar 29, 2019",19.72,19.78,19.31,19.64,"1,936,720","187,392,305"
"Mar 28, 2019",19.55,19.76,19.38,19.75,"2,151,563","188,374,841"
"Mar 27, 2019",18.74,19.61,18.7,19.55,"2,337,283","186,398,239"
"Mar 26, 2019",19.13,19.33,18.39,18.75,"2,261,036","178,624,748"
"Mar 25, 2019",18.78,19.37,18.73,19.13,"2,674,288","182,217,940"
"Mar 24, 2019",18.97,18.97,18.71,18.81,"1,598,301","179,006,737"
"Mar 23, 2019",18.88,19.19,18.7,18.96,"1,679,556","180,364,406"
"Mar 22, 2019",18.77,19,18.36,18.9,"1,751,383","179,735,554"
"Mar 21, 2019",19.26,19.35,18.5,18.79,"1,750,291","178,584,582"
"Mar 20, 2019",19.26,19.35,18.82,19.24,"1,719,515","182,680,797"
"Mar 19, 2019",19.49,19.55,19.16,19.22,"1,710,183","182,438,915"
"Mar 18, 2019",19.74,19.95,19.11,19.48,"1,683,777","184,780,802"
"Mar 17, 2019",19.44,19.83,19.22,19.71,"1,589,879","186,837,700"
"Mar 16, 2019",19.75,19.91,19.23,19.45,"1,959,709","184,272,633"
"Mar 15, 2019",19.44,19.92,19.08,19.8,"3,106,581","187,474,886"
"Mar 14, 2019",18.57,22.32,18.37,19.46,"7,195,775","184,157,984"
"Mar 13, 2019",18.7,19.51,17.98,18.59,"3,932,665","175,899,600"
"Mar 12, 2019",16.89,23.59,16.59,18.69,"14,455,264","176,751,745"
"Mar 11, 2019",16.95,17.11,16.28,16.85,"1,820,227","159,221,641"
"Mar 10, 2019",16.66,16.95,16.58,16.93,"1,469,928","159,877,403"
"Mar 09, 2019",16.22,16.78,16.18,16.65,"1,478,191","157,129,949"
"Mar 08, 2019",16.39,16.59,16.13,16.23,"1,462,539","153,106,776"
"Mar 07, 2019",16.81,17.02,16.16,16.38,"1,731,629","154,463,967"
"Mar 06, 2019",16.96,16.98,16.72,16.77,"1,521,296","158,050,785"
"Mar 05, 2019",16.17,16.97,16.02,16.96,"1,756,291","159,764,046"
"Mar 04, 2019",16.65,16.68,15.92,16.16,"1,682,502","152,125,777"
"Mar 03, 2019",16.97,17.06,16.61,16.66,"1,636,068","156,714,589"
"Mar 02, 2019",16.61,17.03,16.61,17.01,"1,364,076","159,956,680"
"Mar 01, 2019",16.7,16.92,16.59,16.64,"1,396,642","156,408,220"
"Feb 28, 2019",16.7,16.93,16.62,16.7,"1,238,367","156,792,056"
"Feb 27, 2019",16.85,16.96,16.35,16.72,"1,338,471","156,902,726"
"Feb 26, 2019",16.43,17.09,16.34,16.85,"1,571,916","158,061,906"
"Feb 25, 2019",16.14,16.61,16.11,16.48,"1,474,651","154,476,061"
"Feb 24, 2019",17.94,18.38,16.09,16.18,"1,580,194","151,572,566"
"Feb 23, 2019",17.32,17.99,17.22,17.92,"1,379,839","167,855,523"
"Feb 22, 2019",16.75,17.35,16.75,17.34,"1,452,426","162,317,208"
"Feb 21, 2019",17.38,17.41,16.61,16.78,"1,752,731","156,943,060"
"Feb 20, 2019",17.56,17.66,17.15,17.27,"1,864,979","161,488,479"
"Feb 19, 2019",18.24,18.24,17.22,17.55,"3,235,549","163,951,294"
"Feb 18, 2019",17.08,17.97,16.88,17.81,"2,593,851","166,341,227"
"Feb 17, 2019",16.68,17.09,16.54,17.03,"1,729,811","158,942,557"
"Feb 16, 2019",16.72,16.91,16.62,16.71,"1,456,073","155,842,342"
"Feb 15, 2019",16.69,16.83,16.63,16.71,"1,402,629","155,832,483"
"Feb 14, 2019",16.76,16.84,16.63,16.68,"1,311,259","155,437,181"
"Feb 13, 2019",16.82,17.03,16.64,16.77,"1,560,393","156,184,889"
"Feb 12, 2019",16.71,16.9,16.54,16.82,"1,723,153","156,555,384"
"Feb 11, 2019",17.07,17.07,16.61,16.69,"1,398,587","155,225,539"
"Feb 10, 2019",16.61,17.08,16.4,17.08,"1,873,124","158,748,871"
"Feb 09, 2019",16.54,16.74,16.4,16.58,"1,115,167","154,063,911"
"Feb 08, 2019",15.19,16.8,15.14,16.58,"1,468,462","153,911,490"
"Feb 07, 2019",14.97,15.53,14.93,15.19,"1,461,236","140,938,460"
"Feb 06, 2019",15.95,15.95,14.86,14.96,"2,061,132","138,737,400"
"Feb 05, 2019",15.73,16.04,15.73,15.91,"1,081,837","147,434,393"
"Feb 04, 2019",16.01,16.08,15.69,15.78,"1,148,826","146,181,366"
"Feb 03, 2019",15.91,16.16,15.63,15.95,"1,438,369","147,666,667"
"Feb 02, 2019",15.86,15.98,15.75,15.87,"977,642","146,812,462"
"Feb 01, 2019",15.76,16.1,15.54,15.89,"1,191,214","146,964,098"
"Jan 31, 2019",16.32,16.44,15.68,15.77,"1,159,543","145,748,480"
"Jan 30, 2019",16.08,16.4,15.86,16.33,"1,458,878","150,864,309"
