Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 24, 2019",171.35,171.57,161.98,165.83,"7,351,304,156","17,544,029,659"
"Apr 23, 2019",172.01,176.85,170.9,171.45,"7,097,827,092","18,136,462,572"
"Apr 22, 2019",170.02,173.07,168.73,171.87,"6,094,878,077","18,179,292,263"
"Apr 21, 2019",173.72,174.42,167.43,170.05,"6,005,571,688","17,983,602,095"
"Apr 20, 2019",173.72,176.71,171.79,173.75,"6,142,567,812","18,373,023,202"
"Apr 19, 2019",173.79,173.98,170.62,173.71,"6,541,053,061","18,366,130,180"
"Apr 18, 2019",166.91,175.37,166.67,173.81,"6,971,581,464","18,374,913,022"
"Apr 17, 2019",167.55,168.94,165.5,166.95,"5,596,102,715","17,647,086,048"
"Apr 16, 2019",161.53,167.67,160.89,167.62,"5,180,105,341","17,715,913,572"
"Apr 15, 2019",167.9,168.82,159.56,161.57,"5,672,311,824","17,074,367,783"
"Apr 14, 2019",164.48,168.59,162.78,167.84,"4,846,298,303","17,734,050,269"
"Apr 13, 2019",164.62,166.36,163.01,164.51,"4,959,301,561","17,380,468,169"
"Apr 12, 2019",165.34,166.13,161.03,164.74,"6,237,185,309","17,401,765,647"
"Apr 11, 2019",177.34,177.49,162.32,165.5,"7,859,383,417","17,479,876,008"
"Apr 10, 2019",176.07,183.13,175.23,177.34,"7,856,924,879","18,728,058,767"
"Apr 09, 2019",180.22,180.25,175.09,176.11,"7,632,529,578","18,596,496,042"
"Apr 08, 2019",174.45,184.38,174.16,180.26,"9,304,964,610","19,031,640,376"
"Apr 07, 2019",165.98,175.21,164.93,174.53,"7,596,176,020","18,424,576,820"
"Apr 06, 2019",165.51,172.52,161.8,165.95,"7,167,016,221","17,516,082,778"
"Apr 05, 2019",158.02,167.22,157.44,165.51,"7,531,316,908","17,468,192,986"
"Apr 04, 2019",161.43,164.93,155.24,158.05,"7,953,123,529","16,678,477,300"
"Apr 03, 2019",164.01,178.32,157.32,161.46,"10,622,456,246","17,035,703,564"
"Apr 02, 2019",141.84,165.23,141.64,163.96,"9,826,645,698","17,297,572,365"
"Apr 01, 2019",141.47,142.73,140.74,141.83,"4,611,999,536","14,960,828,861"
"Mar 31, 2019",142.14,142.19,140.7,141.51,"4,249,050,197","14,925,533,137"
"Mar 30, 2019",142.36,149.61,141.03,142.09,"5,144,662,127","14,984,615,423"
"Mar 29, 2019",139.34,142.55,138.05,142.5,"5,125,602,702","15,025,361,637"
"Mar 28, 2019",141.01,141.01,138.43,139.42,"4,163,212,475","14,698,609,599"
