"Date","Open.","High","Low","Close..","Volume","Market.Cap","project","daychange","daychange_per","date"
"Apr 24, 2019",0.422864,0.45126,0.399441,0.416571,"116,987,322","522,170,772","BAT",0.00629299999999999,1.48818532672443,2019-04-24
"Apr 23, 2019",0.400289,0.450784,0.387407,0.421706,"104,016,940","527,107,309","BAT",-0.021417,-5.35038434730907,2019-04-23
"Apr 22, 2019",0.443613,0.457521,0.395189,0.400512,"94,332,520","500,617,215","BAT",0.043101,9.7159010218366,2019-04-22
"Apr 21, 2019",0.414279,0.499337,0.404576,0.444291,"174,394,378","555,337,653","BAT",-0.030012,-7.24439327120129,2019-04-21
"Apr 20, 2019",0.377664,0.434861,0.373942,0.414227,"96,849,014","517,759,245","BAT",-0.036563,-9.68135697339434,2019-04-20
"Apr 19, 2019",0.351513,0.383214,0.347807,0.3776,"47,719,971","471,789,067","BAT",-0.026087,-7.42134714790064,2019-04-19
"Apr 18, 2019",0.33463,0.368357,0.334626,0.35192,"54,029,800","439,703,189","BAT",-0.01729,-5.16690075605894,2019-04-18
"Apr 17, 2019",0.32582,0.337816,0.319777,0.334325,"46,733,876","417,711,873","BAT",-0.00850499999999998,-2.6103369958873,2019-04-17
"Apr 16, 2019",0.294287,0.331769,0.292317,0.325965,"45,545,451","407,265,555","BAT",-0.031678,-10.764321903448,2019-04-16
"Apr 15, 2019",0.306749,0.31513,0.290234,0.294271,"39,106,011","367,667,573","BAT",0.012478,4.06782092199159,2019-04-15
"Apr 14, 2019",0.311462,0.329405,0.302796,0.306749,"48,248,475","383,256,857","BAT",0.00471300000000002,1.51318619927953,2019-04-14
"Apr 13, 2019",0.288873,0.313137,0.284495,0.311498,"39,636,965","389,190,533","BAT",-0.022625,-7.83216153811537,2019-04-13
"Apr 12, 2019",0.270897,0.290031,0.263052,0.288884,"36,982,423","360,936,131","BAT",-0.017987,-6.63979298404928,2019-04-12
"Apr 11, 2019",0.293958,0.294683,0.261842,0.271218,"27,688,288","338,809,745","BAT",0.02274,7.73579899169269,2019-04-11
"Apr 10, 2019",0.290449,0.302808,0.289391,0.293985,"31,467,602","367,250,471","BAT",-0.00353599999999998,-1.21742543441361,2019-04-10
"Apr 09, 2019",0.295285,0.295285,0.286045,0.290387,"43,044,271","362,756,532","BAT",0.00489800000000001,1.658736474931,2019-04-09
"Apr 08, 2019",0.300265,0.304621,0.289948,0.295371,"38,673,110","368,805,036","BAT",0.00489400000000001,1.62989359399198,2019-04-08
"Apr 07, 2019",0.303184,0.30925,0.296869,0.300154,"37,628,482","374,777,459","BAT",0.00303000000000003,0.999393107815727,2019-04-07
"Apr 06, 2019",0.308202,0.314462,0.297941,0.303207,"40,740,487","378,589,016","BAT",0.00499499999999997,1.62069032647419,2019-04-06
"Apr 05, 2019",0.283354,0.315584,0.283354,0.308017,"48,745,448","384,595,275","BAT",-0.024663,-8.70395335869619,2019-04-05
"Apr 04, 2019",0.286656,0.303814,0.272874,0.284135,"42,424,782","354,775,418","BAT",0.002521,0.879451328421521,2019-04-04
