Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 24, 2019",67.35,67.72,62.55,65.07,"256,376,774","415,809,680"
"Apr 23, 2019",69.23,70.51,67.22,67.35,"300,216,633","429,888,673"
"Apr 22, 2019",68.28,70.34,66.6,69.02,"218,079,859","440,056,625"
"Apr 21, 2019",69.77,70.2,66.94,68.27,"210,377,329","434,809,779"
"Apr 20, 2019",69.75,70.38,68.94,69.75,"198,834,650","443,672,616"
"Apr 19, 2019",70.4,70.69,69.17,69.94,"240,547,078","444,418,366"
"Apr 18, 2019",70.27,71.88,69.77,70.37,"259,396,924","446,632,519"
"Apr 17, 2019",69.53,71.58,67.61,70.36,"191,148,456","446,045,239"
"Apr 16, 2019",67.4,69.97,66.71,69.66,"178,319,467","441,103,529"
"Apr 15, 2019",69.76,70.29,66.03,67.35,"233,076,735","426,018,702"
"Apr 14, 2019",69.4,70.31,67.26,69.72,"171,069,951","440,545,967"
"Apr 13, 2019",71.09,71.53,68.52,69.41,"165,845,469","438,050,149"
"Apr 12, 2019",69.54,71.88,67.7,71.09,"246,089,467","448,169,015"
"Apr 11, 2019",71.68,72.44,64.14,69.82,"359,320,471","439,650,247"
"Apr 10, 2019",71.07,74.05,70.84,71.89,"336,436,787","452,142,881"
"Apr 09, 2019",72.76,72.76,69.6,70.86,"271,243,208","445,147,453"
"Apr 08, 2019",74.31,75.85,70.17,72.78,"471,900,437","456,740,982"
"Apr 07, 2019",71.19,75.34,70.65,74.5,"332,819,865","466,990,237"
"Apr 06, 2019",72.21,73.22,69.51,71.27,"312,034,237","446,222,245"
"Apr 05, 2019",66.96,72.59,66.96,72.11,"332,793,050","450,941,549"
"Apr 04, 2019",69.18,70.99,65.2,67.29,"352,768,448","420,338,925"
"Apr 03, 2019",69.9,77.08,67.52,69.03,"585,104,104","430,686,375"
"Apr 02, 2019",62.5,70.69,60.74,69.94,"466,924,123","435,909,266"
"Apr 01, 2019",58.48,63.29,58.13,62.42,"189,443,569","388,598,258"
"Mar 31, 2019",56.83,58.88,56.69,58.51,"130,692,825","363,794,627"
"Mar 30, 2019",57.04,58.9,55.57,56.85,"167,775,201","353,054,999"
"Mar 29, 2019",56.94,58.19,55.75,56.94,"201,610,736","353,227,893"
"Mar 28, 2019",57.73,57.73,56.19,56.84,"161,710,601","352,235,698"
"Mar 27, 2019",55.22,57.84,55.14,57.63,"231,094,651","356,666,045"
"Mar 26, 2019",55.64,55.88,53.22,55.19,"158,723,903","341,196,828"
"Mar 25, 2019",57.69,57.69,54.58,55.73,"195,671,885","344,127,514"
"Mar 24, 2019",57.12,58.68,56.81,57.39,"173,094,104","353,992,150"
"Mar 23, 2019",55.43,57.33,55.33,57.25,"158,538,389","352,696,343"
"Mar 22, 2019",56.29,57.29,55.27,55.68,"173,873,141","342,612,710"
"Mar 21, 2019",59.18,59.48,55.34,56.21,"223,886,073","345,497,011"
"Mar 20, 2019",57.19,61.67,55.71,59.17,"254,732,439","363,276,368"
"Mar 19, 2019",54.67,57.5,54.24,57.27,"196,520,217","351,164,044"
"Mar 18, 2019",54.66,55.74,53.93,54.36,"180,167,831","332,921,593"
"Mar 17, 2019",55.04,55.43,53.71,54.65,"74,814,769","334,358,330"
"Mar 16, 2019",53.65,55.39,53.65,55.04,"90,276,800","336,342,466"
"Mar 15, 2019",52.74,54.09,52.37,53.65,"89,393,206","327,457,148"
"Mar 14, 2019",51.51,53.1,51.17,52.62,"245,469,608","320,770,315"
"Mar 13, 2019",53.11,53.68,51.46,51.52,"239,471,768","313,730,584"
"Mar 12, 2019",49.94,53.74,48.7,53.39,"250,531,958","324,705,768"
"Mar 11, 2019",50.94,51.2,49.48,50.02,"253,458,981","303,861,520"
"Mar 10, 2019",51.61,51.61,50.23,50.96,"235,398,766","309,206,253"
"Mar 09, 2019",49.98,51.69,49.53,51.69,"217,808,359","313,271,786"
"Mar 08, 2019",50.5,51.09,48.85,49.82,"248,512,675","301,562,440"
"Mar 07, 2019",50.78,51.55,50.12,50.71,"202,037,189","306,593,409"
"Mar 06, 2019",51.11,51.54,50.18,50.79,"176,079,523","306,732,954"
"Mar 05, 2019",49.09,51.38,48.41,51.08,"187,521,332","308,108,800"
"Mar 04, 2019",51.05,51.2,48.48,49.26,"187,017,919","296,775,875"
"Mar 03, 2019",51.81,52.21,50.79,51.06,"172,669,308","307,232,240"
"Mar 02, 2019",52.26,52.79,50.72,52.05,"170,143,282","312,816,074"
"Mar 01, 2019",51.93,52.98,51.48,52.29,"153,637,298","313,866,581"
"Feb 28, 2019",52.78,53.29,51.28,51.83,"194,072,294","310,749,404"
"Feb 27, 2019",52.76,53.23,50.97,52.33,"166,688,560","313,353,608"
"Feb 26, 2019",53.13,53.36,52.16,52.78,"162,807,753","315,707,828"
"Feb 25, 2019",52.22,53.69,51.79,53.14,"166,945,706","317,459,959"
"Feb 24, 2019",56.9,59.2,50.73,52.35,"194,289,114","312,358,965"
"Feb 23, 2019",54.22,56.93,53.62,56.84,"201,463,515","338,777,954"
"Feb 22, 2019",53.67,55.65,53.63,54.28,"199,557,822","323,122,479"
"Feb 21, 2019",54.94,55.17,53.25,53.65,"206,962,996","318,985,117"
"Feb 20, 2019",55.31,56.1,53.66,54.88,"198,536,482","325,916,105"
"Feb 19, 2019",54.89,57.13,54.47,55.14,"308,697,897","327,043,293"
"Feb 18, 2019",52.04,55.46,51.49,54.95,"171,954,803","325,505,841"
"Feb 17, 2019",51.66,52.16,50.59,51.98,"177,905,993","307,575,942"
"Feb 16, 2019",51.1,51.95,51.1,51.76,"153,542,570","305,880,347"
"Feb 15, 2019",51.76,52.21,50.97,51.34,"220,295,863","303,017,751"
"Feb 14, 2019",52.96,53.6,51.7,51.8,"233,741,880","305,400,625"
"Feb 13, 2019",53.68,55.49,52.65,52.77,"204,342,146","310,740,216"
"Feb 12, 2019",51.44,54.02,50.67,53.59,"217,743,538","315,203,156"
"Feb 11, 2019",50.69,52.01,49.59,51.28,"198,712,081","301,235,155"
"Feb 10, 2019",50.38,50.95,49.34,50.89,"177,859,791","298,581,547"
"Feb 09, 2019",49.7,51.09,49.69,50.33,"163,211,031","294,905,597"
"Feb 08, 2019",46.68,52.02,46.54,50.05,"167,677,793","292,914,252"
"Feb 07, 2019",46.61,47.56,46.44,46.82,"147,434,597","273,691,082"
